cites,citation
5,"Kadlec, J., A. W. Miller, and D. P. Ames, 2016: Extracting Snow Cover Time Series Data from Open Access Web Mapping Tile Services. JAWRA Journal of the American Water Resources Association, 52, 916–932, https://doi.org/10.1111/1752-1688.12387."
5,"Jenkins, C., 2018: Sediment Accumulation Rates For the Mississippi Delta Region: a Time-interval Synthesis. Journal of Sedimentary Research, 88, 301–309, https://doi.org/10.2110/jsr.2018.15."
5,"Zhang, C., Z. Sun, G. Heo, L. Di, and L. Lin, 2016: A GeoPackage implementation of common map API on Google Maps and OpenLayers to manipulate agricultural data on mobile devices. 2016 Fifth International Conference on Agro-Geoinformatics (Agro-Geoinformatics), https://doi.org/10.1109/agro-geoinformatics.2016.7577654."
5,"Gil, Y., D. Garijo, V. Ratnakar, D. Khider, J. Emile-Geay, and N. McKay, 2017: A Controlled Crowdsourcing Approach for Practical Ontology Extensions and Metadata Annotations. The Semantic Web – ISWC 2017, 231–246, https://doi.org/10.1007/978-3-319-68204-4_24."
5,"Lepore, C., R. Abernathey, N. Henderson, J. T. Allen, and M. K. Tippett, 2021: Future Global Convective Environments in CMIP6 Models. Earth’s Future, 9, https://doi.org/10.1029/2021ef002277."
5,"Essawy, B. T., J. L. Goodall, H. Xu, and Y. Gil, 2017: Evaluation of the OntoSoft Ontology for describing metadata for legacy hydrologic modeling software. Environmental Modelling &amp; Software, 92, 317–329, https://doi.org/10.1016/j.envsoft.2017.01.024."
5,"Illarionov, E., A. Kosovichev, and A. Tlatov, 2020: Machine-learning Approach to Identification of Coronal Holes in Solar Disk Images and Synoptic Maps. The Astrophysical Journal, 903, 115, https://doi.org/10.3847/1538-4357/abb94d."
5,"Yu, X., C. Duffy, Y. Gil, L. Leonard, G. Bhatt, and E. Thomas, 2016: Cyber-Innovated Watershed Research at the Shale Hills Critical Zone Observatory. IEEE Systems Journal, 10, 1239–1250, https://doi.org/10.1109/jsyst.2015.2484219."
5,"Garijo, D., M. Osorio, D. Khider, V. Ratnakar, and Y. Gil, 2019: OKG-Soft: An Open Knowledge Graph with Machine Readable Scientific Software Metadata. 2019 15th International Conference on eScience (eScience), https://doi.org/10.1109/escience.2019.00046."
5,"Mookerjee, M., D. Vieira, M. Chan, Y. Gil, T. Pavlis, F. Spear, and B. Tikoff, 2015: Field Data Management: Integrating Cyberscience and Geoscience. Eos, 96, https://doi.org/10.1029/2015eo036703."
4,"Garijo, D., and Coauthors, 2014: Workflow Reuse in Practice: A Study of Neuroimaging Pipeline Users. 2014 IEEE 10th International Conference on e-Science, https://doi.org/10.1109/escience.2014.33."
4,"Chan, M. A., S. E. Peters, and B. Tikoff, 2016: The Future of Field Geology, Open Data Sharing and CyberTechnology in Earth Science. The Sedimentary Record, 14, 4–10, https://doi.org/10.2110/sedred.2016.1.4."
4,"Tucker, G. E., and Coauthors, 2022: CSDMS: a community platform for numerical modeling of Earth surface processes. Geoscientific Model Development, 15, 1413–1439, https://doi.org/10.5194/gmd-15-1413-2022."
4,"Ma, X., 2022: Knowledge graph construction and application in geosciences: A review. Computers &amp; Geosciences, 161, 105082, https://doi.org/10.1016/j.cageo.2022.105082."
4,"M. C. Carvalho, L. A., D. Garijo, C. Bauzer Medeiros, and Y. Gil, 2018: Semantic Software Metadata for Workflow Exploration and Evolution. 2018 IEEE 14th International Conference on e-Science (e-Science), https://doi.org/10.1109/escience.2018.00132."
4,"Walker, J., 2021: Geology in an Online World. GSA Today, 31, 4–7, https://doi.org/10.1130/gsatprsadrs20.1."
4,"Tucker, T., D. Giglio, M. Scanderbeg, and S. S. P. Shen, 2020: Argovis: A Web Application for Fast Delivery, Visualization, and Analysis of Argo Data. Journal of Atmospheric and Oceanic Technology, 37, 401–416, https://doi.org/10.1175/jtech-d-19-0041.1."
4,"Elag, M. M., P. Kumar, L. Marini, J. D. Myers, M. Hedstrom, and B. A. Plale, 2017: Identification and characterization of information-networks in long-tail data collections. Environmental Modelling &amp; Software, 94, 100–111, https://doi.org/10.1016/j.envsoft.2017.03.032."
4,"Doan, K., A. O. Oloso, K.-S. Kuo, T. L. Clune, H. Yu, B. Nelson, and J. Zhang, 2016: Evaluating the impact of data placement to spark and SciDB with an Earth Science use case. 2016 IEEE International Conference on Big Data (Big Data), https://doi.org/10.1109/bigdata.2016.7840621."
4,"Gil, Y., D. Garijo, S. Mishra, and V. Ratnakar, 2016: OntoSoft: A distributed semantic registry for scientific software. 2016 IEEE 12th International Conference on e-Science (e-Science), https://doi.org/10.1109/escience.2016.7870916."
4,"Sun, Z., L. Di, C. Zhang, L. Lin, H. Fang, X. Tan, and P. Yue, 2016: Combining OGC WCS with SOAP to faciliate the retrieval of remote sensing imagery about agricultural fields. 2016 Fifth International Conference on Agro-Geoinformatics (Agro-Geoinformatics), https://doi.org/10.1109/agro-geoinformatics.2016.7577652."
4,"Song, J., and L. Di, 2017: Near-Real-Time OGC Catalogue Service for Geoscience Big Data. ISPRS International Journal of Geo-Information, 6, 337, https://doi.org/10.3390/ijgi6110337."
4,"Sun, Z., and Coauthors, 2017: Establish cyberinfrastructure to facilitate agricultural drought monitoring. 2017 6th International Conference on Agro-Geoinformatics, https://doi.org/10.1109/agro-geoinformatics.2017.8047054."
4,"Sun, Z., L. Di, H. Fang, C. Zhang, E. Yu, L. Lin, X. Tan, and P. Yue, 2016: Embedding Pub/Sub mechanism into OGC web services to augment agricultural crop monitoring. 2016 Fifth International Conference on Agro-Geoinformatics (Agro-Geoinformatics), https://doi.org/10.1109/agro-geoinformatics.2016.7577653."
4,"Sethi, R. J., and Y. Gil, 2017: Scientific workflows in data analysis: Bridging expertise across multiple domains. Future Generation Computer Systems, 75, 256–270, https://doi.org/10.1016/j.future.2017.01.001."
3,"Williams, J. W., D. Kaufman, A. Newton, and L. von Gunten, 2018: Building and harnessing open paleodata. Past Global Change Magazine, 26, 49–49, https://doi.org/10.22498/pages.26.2.49."
3,"Sun, Z., H. Fang, L. Di, P. Yue, X. Tan, and Y. Bai, 2016: Developing a web-based system for supervised classification of remote sensing images. GeoInformatica, 20, 629–649, https://doi.org/10.1007/s10707-016-0252-3."
3,"Valentine, D., I. Zaslavsky, S. Richard, O. Meier, G. Hudman, B. Peucker‐Ehrenbrink, and K. Stocks, 2020: EarthCube Data Discovery Studio: A gateway into geoscience data discovery and exploration with Jupyter notebooks. Concurrency and Computation: Practice and Experience, 33, https://doi.org/10.1002/cpe.6086."
3,"Jiang, H., J. Wang, C. Liu, J. Jing, H. Liu, J. T. L. Wang, and H. Wang, 2020: Identifying and Tracking Solar Magnetic Flux Elements with Deep Learning. The Astrophysical Journal Supplement Series, 250, 5, https://doi.org/10.3847/1538-4365/aba4aa."
3,"Bhatt, A., T. Valentic, A. Reimer, L. Lamarche, P. Reyes, and R. Cosgrove, 2020: Reproducible Software Environment: a tool enabling computational reproducibility in geospace sciences and facilitating collaboration. Journal of Space Weather and Space Climate, 10, 12, https://doi.org/10.1051/swsc/2020011."
3,"Brewer, T. E., and Coauthors, 2019: Ecological and genomic attributes of novel bacterial taxa that thrive in subsurface soil horizons. https://doi.org/10.1101/647651."
3,"Shi, Y., D. J. Knipp, T. Matsuo, L. Kilcommons, and B. Anderson, 2020: Event Studies of High‐Latitude FACs With Inverse and Assimilative Analysis of AMPERE Magnetometer Data. Journal of Geophysical Research: Space Physics, 125, https://doi.org/10.1029/2019ja027266."
3,"Matheny, A. M., P. Marchetto, J. Powell, A. Rechner, J. Chuah, E. McCormick, and S. A. Pierce, 2019: LEAF: Logger for ecological and atmospheric factors. HardwareX, 6, e00079, https://doi.org/10.1016/j.ohx.2019.e00079."
3,"Abduallah, Y., J. T. L. Wang, Y. Nie, C. Liu, and H. Wang, 2021: DeepSun: machine-learning-as-a-service for solar flare prediction. Research in Astronomy and Astrophysics, 21, 160, https://doi.org/10.1088/1674-4527/21/7/160."
3,"Tikoff, B., V. Chatzaras, J. Newman, and N. M. Roberts, 2019: Big data in microstructure analysis: Building a universal orientation system for thin sections. Journal of Structural Geology, 125, 226–234, https://doi.org/10.1016/j.jsg.2018.09.019."
3,"Hsu, C. ‐T., T. Matsuo, A. Maute, R. Stoneback, and C. ‐P. Lien, 2021: Data‐Driven Ensemble Modeling of Equatorial Ionospheric Electrodynamics: A Case Study During a Minor Storm Period Under Solar Minimum Conditions. Journal of Geophysical Research: Space Physics, 126, https://doi.org/10.1029/2020ja028539."
3,"Kelbert, A., 2014: Science and Cyberinfrastructure: The Chicken and Egg Problem. Eos, Transactions American Geophysical Union, 95, 458–459, https://doi.org/10.1002/2014eo490006."
3,"Mayernik, M. S., and Coauthors, 2016: Building Geoscience Semantic Web Applications Using Established Ontologies. Data Science Journal, 15, https://doi.org/10.5334/dsj-2016-011."
3,"Yu, L., M. L. Rilee, Y. Pan, F. Zhu, K.-S. Kuo, and H. Yu, 2017: Visual analytics with unparalleled variety scaling for big earth data. 2017 IEEE International Conference on Big Data (Big Data), https://doi.org/10.1109/bigdata.2017.8257966."
2,"Tamma, V., M. Dragoni, R. Gonçalves, and A. Ławrynowicz, eds., 2016: Ontology Engineering. Lecture Notes in Computer Science, https://doi.org/10.1007/978-3-319-33245-1."
2,"Leonard, L., K. Madduri, and C. J. Duffy, 2016: Tuning Heterogeneous Computing Platforms for Large-Scale Hydrology Data Management. IEEE Transactions on Parallel and Distributed Systems, 27, 2753–2765, https://doi.org/10.1109/tpds.2015.2499741."
2,"Sun, Z., L. Di, S. Cvetojevic, and Z. Yu, 2020: GeoFairy2: A Cross-Institution Mobile Gateway to Location-Linked Data for In-Situ Decision Making. ISPRS International Journal of Geo-Information, 10, 1, https://doi.org/10.3390/ijgi10010001."
2,"Hu, W., and G. Cervone, 2019: Dynamically Optimized Unstructured Grid (DOUG) for Analog Ensemble of numerical weather predictions using evolutionary algorithms. Computers &amp; Geosciences, 133, 104299, https://doi.org/10.1016/j.cageo.2019.07.003."
2,"Njinju, E. A., D. S. Stamps, K. Neumiller, and J. Gallager, 2021: Lithospheric Control of Melt Generation Beneath the Rungwe Volcanic Province, East Africa: Implications for a Plume Source. Journal of Geophysical Research: Solid Earth, 126, https://doi.org/10.1029/2020jb020728."
2,"Fleishman, G. D., S. A. Anfinogentov, A. G. Stupishin, A. A. Kuznetsov, and G. M. Nita, 2021: Coronal Heating Law Constrained by Microwave Gyroresonant Emission. The Astrophysical Journal, 909, 89, https://doi.org/10.3847/1538-4357/abdab1."
2,"Dye, M., D. S. Stamps, M. Mason, and E. Saria, 2022: Toward Autonomous Detection of Anomalous GNSS Data Via Applied Unsupervised Artificial Intelligence. International Journal of Semantic Computing, 16, 29–45, https://doi.org/10.1142/s1793351x22400025."
2,"Fleishman, G. D., L. Kleint, G. G. Motorina, G. M. Nita, and E. P. Kontar, 2021: Energy Budget of Plasma Motions, Heating, and Electron Acceleration in a Three-loop Solar Flare. The Astrophysical Journal, 913, 97, https://doi.org/10.3847/1538-4357/abf495."
2,"Deng, J., W. Song, D. Liu, Q. Li, G. Lin, and H. Wang, 2021: Improving the Spatial Resolution of Solar Images Using Generative Adversarial Network and Self-attention Mechanism*. The Astrophysical Journal, 923, 76, https://doi.org/10.3847/1538-4357/ac2aa2."
2,"Kuroda, N., G. D. Fleishman, D. E. Gary, G. M. Nita, B. Chen, and S. Yu, 2020: Evolution of Flare-Accelerated Electrons Quantified by Spatially Resolved Analysis. Frontiers in Astronomy and Space Sciences, 7, https://doi.org/10.3389/fspas.2020.00022."
2,"Hu, W., G. Cervone, A. Merzky, M. Turilli, and S. Jha, 2022: A new hourly dataset for photovoltaic energy production for the continental USA. Data in Brief, 40, 107824, https://doi.org/10.1016/j.dib.2022.107824."
2,"He, Y., Y. Zhou, T. Wen, S. Zhang, F. Huang, X. Zou, X. Ma, and Y. Zhu, 2022: A review of machine learning in geochemistry and cosmochemistry: Method improvements and applications. Applied Geochemistry, 140, 105273, https://doi.org/10.1016/j.apgeochem.2022.105273."
2,"Held, N., J. Saunders, J. Futrelle, and M. Saito, 2018: Harnessing the Power of Scientific Python to Investigate Biogeochemistry and Metaproteomes of the Central Pacific Ocean. Proceedings of the 17th Python in Science Conference, https://doi.org/10.25080/majora-4af1f417-010."
2,"Kuo, K.-S., H. Yu, Y. Pan, and M. L. Rilee, 2019: Leveraging STARE for Co-aligned Data Locality with netCDF and Python MPI. IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium, https://doi.org/10.1109/igarss.2019.8900423."
2,"Kuo, K.-S., A. Oloso, K. Doan, T. L. Clune, and H. Yu, 2016: Implications of data placement strategy to Big Data technologies based on shared-nothing architecture for geosciences. 2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS), https://doi.org/10.1109/igarss.2016.7730983."
2,"Lehnert, K., J. Klump, L. Wyborn, and S. Ramdeen, 2019: Persistent, Global, Unique: The three key requirements for a trusted identifier system for physical samples. Biodiversity Information Science and Standards, 3, https://doi.org/10.3897/biss.3.37334."
2,"Xie, Y., S. Shekhar, and Y. Li, 2023: Statistically-Robust Clustering Techniques for Mapping Spatial Hotspots: A Survey. ACM Computing Surveys, 55, 1–38, https://doi.org/10.1145/3487893."
2,"Oloso, A., K.-S. Kuo, T. Clune, P. Brown, A. Poliakov, and H. Yu, 2016: Implementing connected component labeling as a user defined operator for SciDB. 2016 IEEE International Conference on Big Data (Big Data), https://doi.org/10.1109/bigdata.2016.7840945."
2,"Lopez, L. A., R. Duerr, and S. J. S. Khalsa, 2015: Optimizing apache nutch for domain specific crawling at large scale. 2015 IEEE International Conference on Big Data (Big Data), https://doi.org/10.1109/bigdata.2015.7363976."
2,"Peckham, S. D., M. Stoica, E. Jafarov, A. Endalamaw, and W. R. Bolton, 2017: Reproducible, component‐based modeling with TopoFlow, a spatial hydrologic modeling toolkit. Earth and Space Science, 4, 377–394, https://doi.org/10.1002/2016ea000237."
2,"Mayernik, M. S., 2018: Scholarly resource linking: Building out a “relationship life cycle.” Proceedings of the Association for Information Science and Technology, 55, 337–346, https://doi.org/10.1002/pra2.2018.14505501037."
2,"Peckham, S. D., A. Kelbert, M. C. Hill, and E. W. H. Hutton, 2016: Towards uncertainty quantification and parameter estimation for Earth system models in a component-based modeling framework. Computers &amp; Geosciences, 90, 152–161, https://doi.org/10.1016/j.cageo.2016.03.005."
2,"Hsu, L., B. McElroy, R. L. Martin, and W. Kim, 2013: Building a Sediment Experimentalist Network (SEN): sharing best practices for experimental methods and data management. The Sedimentary Record, 11, 9–12, https://doi.org/10.2110/sedred.2013.4.9."
1,"Blumberg, K. L., A. J. Ponsero, M. Bomhoff, E. M. Wood-Charlson, E. F. DeLong, and B. L. Hurwitz, 2021: Ontology-Enriched Specifications Enabling Findable, Accessible, Interoperable, and Reusable Marine Metagenomic Datasets in Cyberinfrastructure Systems. Frontiers in Microbiology, 12, https://doi.org/10.3389/fmicb.2021.765268."
1,"Raheem, A., H. Cavus, G. C. Coban, A. C. Kinaci, H. Wang, and J. T. L. Wang, 2021: An investigation of the causal relationship between sunspot groups and coronal mass ejections by determining source active regions. Monthly Notices of the Royal Astronomical Society, 506, 1916–1926, https://doi.org/10.1093/mnras/stab1816."
1,"Di, L., Z. Sun, E. Yu, J. Song, D. Tong, H. Huang, X. Wu, and B. Domenico, 2016: Coupling of Earth science models and earth observations through OGC interoperability specifications. 2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS), https://doi.org/10.1109/igarss.2016.7729933."
1,"Gil, Y., and V. Ratnakar, 2016: Dynamically Generated Metadata and Replanning by Interleaving Workflow Generation and Execution. 2016 IEEE Tenth International Conference on Semantic Computing (ICSC), https://doi.org/10.1109/icsc.2016.89."
1,"Abduallah, Y., V. K. Jordanova, H. Liu, Q. Li, J. T. L. Wang, and H. Wang, 2022: Predicting Solar Energetic Particles Using SDO/HMI Vector Magnetic Data Products and a Bidirectional LSTM Network. The Astrophysical Journal Supplement Series, 260, 16, https://doi.org/10.3847/1538-4365/ac5f56."
1,"Kuo, K.-S., Y. Pan, F. Zhu, J. Wang, M. L. Rilee, and H. Yu, 2018: A Big Earth Data Platform Exploiting Transparent Multimodal Parallelization. IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium, https://doi.org/10.1109/igarss.2018.8518304."
1,"Xie, Y., E. He, X. Jia, H. Bao, X. Zhou, R. Ghosh, and P. Ravirathinam, 2021: A Statistically-Guided Deep Network Transformation and Moderation Framework for Data with Spatial Heterogeneity. 2021 IEEE International Conference on Data Mining (ICDM), https://doi.org/10.1109/icdm51629.2021.00088."
1,"Woodbury, D. H., D. P. Ames, J. Kadlec, S. Duncan, and G. Gault, 2016: A New Open-Access HUC-8 Based Downscaled CMIP-5 Climate Model Forecast Dataset for the Conterminous United States. JAWRA Journal of the American Water Resources Association, 52, 906–915, https://doi.org/10.1111/1752-1688.12437."
1,"Uhen, M. D., S. Goring, J. Jenkins, and J. Williams, 2018: EarthLife Consortium: Supporting digital paleobiology. Past Global Change Magazine, 26, 78–79, https://doi.org/10.22498/pages.26.2.78."
1,"Shimizu, C., P. Hitzler, and M. Horridge, 2017: Rendering OWL in Description Logic Syntax. The Semantic Web: ESWC 2017 Satellite Events, 109–113, https://doi.org/10.1007/978-3-319-70407-4_21."
1,"Uhen, M. D., P. I. Buckland, S. J. Goring, J. P. Jenkins, and J. W. Williams, 2021: The EarthLife Consortium API: an extensible, open-source service for accessing fossil data and taxonomies from multiple community paleodata resources. Frontiers of Biogeography, 13, https://doi.org/10.21425/f5fbg50711."
1,"Zhou, Y., J. Wu, L. Yu, H. Yu, and Z. Tang, 2016: A geohydrologie data visualization framework with an extendable user interface design. 2016 IEEE International Conference on Big Data (Big Data), https://doi.org/10.1109/bigdata.2016.7840865."
1,"Marsicek, J., S. Goring, S. Marcott, S. Meyers, S. Peters, I. Ross, B. Singer, and J. Williams, 2018: Automated extraction of spatiotemporal geoscientific data from the literature using GeoDeepDive. Past Global Change Magazine, 26, 70–70, https://doi.org/10.22498/pages.26.2.70."
1,"Williams, J. W., D. Kaufman, A. Newton, and L. von Gunten, 2018: Building open data: Data stewards and community-curated data resources. Past Global Change Magazine, 26, 50–51, https://doi.org/10.22498/pages.26.2.50."
1,"Jia, X., and Coauthors, 2021: Physics-Guided Machine Learning from Simulation Data: An Application in Modeling Lake and River Systems. 2021 IEEE International Conference on Data Mining (ICDM), https://doi.org/10.1109/icdm51629.2021.00037."
1,"Mahabal, A. A., D. Crichton, S. G. Djorgovski, E. Law, and J. S. Hughes, 2016: From Sky to Earth: Data Science Methodology Transfer. Proceedings of the International Astronomical Union, 12, 17–26, https://doi.org/10.1017/s1743921317000060."
1,"Peters, S., I. Ross, J. Czaplewski, A. Glassel, J. Husson, V. Syverson, A. Zaffos, and M. Livny, 2017: A New Tool for Deep-Down Data Mining. Eos, https://doi.org/10.1029/2017eo082377."
1, Past Global Changes Magazine. https://doi.org/10.22498/pages.
1,"Chuah, J., M. Deeds, T. Malik, Y. Choi, and J. L. Goodall, 2020: Documenting Computing Environments for Reproducible Experiments. Advances in Parallel Computing, https://doi.org/10.3233/apc200106."
1,"Al-Saadi, A., I. Paraskevakos, B. C. Gonçalves, H. J. Lynch, S. Jha, and M. Turilli, 2021: Comparing workflow application designs for high resolution satellite image analysis. Future Generation Computer Systems, 124, 315–329, https://doi.org/10.1016/j.future.2021.04.023."
1,"Emile-Geay, J., D. Khider, N. McKay, Y. Gil, D. Garijo, and V. Ratnakar, 2018: LinkedEarth: supporting paleoclimate data standards and crowd curation. Past Global Change Magazine, 26, 62–63, https://doi.org/10.22498/pages.26.2.62."
0,"Zhang, L., E. Moges, J. W. Kirchner, E. Coda, T. Liu, A. S. Wymore, Z. Xu, and L. G. Larsen, 2021: <scp>CHOSEN</scp>            : A synthesis of hydrometeorological data from intensively monitored catchments and comparative analysis of hydrologic extremes. Hydrological Processes, 35, https://doi.org/10.1002/hyp.14429."
0,"Moges, E., B. L. Ruddell, L. Zhang, J. M. Driscoll, and L. G. Larsen, 2022: Strength and Memory of Precipitation’s Control Over Streamflow Across the Conterminous United States. Water Resources Research, 58, https://doi.org/10.1029/2021wr030186."
0,"Cholia, S., and Coauthors, 2020: Towards Interactive, Reproducible Analytics at Scale on HPC Systems. 2020 IEEE/ACM HPC for Urgent Decision Making (UrgentHPC), https://doi.org/10.1109/urgenthpc51945.2020.00011."
0,"Stern, C., R. Abernathey, J. Hamman, R. Wegener, C. Lepore, S. Harkins, and A. Merose, 2022: Pangeo Forge: Crowdsourcing Analysis-Ready, Cloud Optimized Data Production. Frontiers in Climate, 3, https://doi.org/10.3389/fclim.2021.782909."
0,"Zheng, W., 2022: Glacier geometry and flow speed determine how Arctic marine-terminating glaciers respond to lubricated beds. The Cryosphere, 16, 1431–1445, https://doi.org/10.5194/tc-16-1431-2022."
0,"Sessa, J., S. Butts, T. Karim, G. Nelson, C. Norris, D. Serratos, and M. Uhen, 2018: The ePANDDA project: linking the Paleobiology Database, iDigBio, and iDigPaleo for biological and paleontological research, collections management, and outreach. Biodiversity Information Science and Standards, 2, e26644, https://doi.org/10.3897/biss.2.26644."
0,"Khalsa, S. J. S., C. A. Mattmann, and R. Duerr, 2017: Deep web crawling for insights from polar data. 2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS), https://doi.org/10.1109/igarss.2017.8126974."
0,"M. Wood-Charlson, E., 2016: ECOGEO ’Omics Training: Introduction to Environmenal ’Omics using a Unix-based Virtual Machine v1. https://doi.org/10.17504/protocols.io.fjjbkkn."
0,"Mayernik, M. S., 2021: Credibility via Coupling. Engaging Science, Technology, and Society, 7, 10–32, https://doi.org/10.17351/ests2021.769."
0,"Mullendore, G. L., M. S. Mayernik, and D. C. Schuster, 2021: Open Science Expectations for Simulation-Based Research. Frontiers in Climate, 3, https://doi.org/10.3389/fclim.2021.763420."
0,"Xie, Y., X. Jia, S. Shekhar, H. Bao, and X. Zhou, 2021: Significant DBSCAN+: Statistically Robust Density-based Clustering. ACM Transactions on Intelligent Systems and Technology, 12, 1–26, https://doi.org/10.1145/3474842."
0,"Saunders, J. K., and Coauthors, 2022: Microbial functional diversity across biogeochemical provinces in the central Pacific Ocean. Proceedings of the National Academy of Sciences, 119, https://doi.org/10.1073/pnas.2200014119."
0,"Sperhac, J. M., and Coauthors, 2020: GHub            : Building a glaciology gateway to unify a community. Concurrency and Computation: Practice and Experience, 33, https://doi.org/10.1002/cpe.6130."
0,"Xie, Y., X. Jia, H. Bao, X. Zhou, J. Yu, R. Ghosh, and P. Ravirathinam, 2021: Spatial-Net. Proceedings of the 29th International Conference on Advances in Geographic Information Systems, https://doi.org/10.1145/3474717.3483970."
0,"Sessa, J. A., and Coauthors, 2017: THE EPANDDA PROJECT: LINKING THE PALEOBIOLOGY DATABASE, IDIGBIO, AND IDIGPALEO FOR BIOLOGICAL AND PALEONTOLOGICAL RESEARCH, COLLECTIONS MANAGEMENT, AND OUTREACH. Geological Society of America Abstracts with Programs, https://doi.org/10.1130/abs/2017am-298208."
0,"Cantrall, C., and T. Matsuo, 2021: Deriving column-integrated thermospheric temperature  with the N&amp;lt;sub&amp;gt;2&amp;lt;/sub&amp;gt; Lyman–Birge–Hopfield (2,0) band. Atmospheric Measurement Techniques, 14, 6917–6928, https://doi.org/10.5194/amt-14-6917-2021."
0,"Pham, Q., T. Malik, D. H. T. That, and A. Youngdahl, 2018: Improving Reproducibility of Distributed Computational Experiments. Proceedings of the First International Workshop on Practical Reproducible Evaluation of Computer Systems, https://doi.org/10.1145/3214239.3214241."
0,"Cox, S., J. Klump, and K. Lehnert, 2018: Connecting Scientific Data and Real-World Samples. Eos, 99, https://doi.org/10.1029/2018eo090337."
0,"Sethi, R. J., and Y. Gil, 2016: Reproducibility in computer vision: Towards open publication of image analysis experiments as semantic workflows. 2016 IEEE 12th International Conference on e-Science (e-Science), https://doi.org/10.1109/escience.2016.7870918."
0,"Stocks, K., S. Diggs, C. Olson, A. Pham, R. Arko, A. Shepherd, and D. Kinkade, 2018: SeaView: Bringing Together an Ocean of Data. Oceanography, 31, 71–71, https://doi.org/10.5670/oceanog.2018.111."
0,"Yu, L., and H. Yu, 2016: A study of scientific visualization on heterogeneous processors using Legion. 2016 IEEE 6th Symposium on Large Data Analysis and Visualization (LDAV), https://doi.org/10.1109/ldav.2016.7874341."
0,"Yu, L., F. Zhu, H. Yu, J. Wang, and K.-S. Kuo, 2016: Feature extraction and tracking for large-scale geospatial data. 2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS), https://doi.org/10.1109/igarss.2016.7729384."
0,"Mookerjee, M., and Coauthors, 2023: Cyberinfrastructure for collecting and integrating geology field data: Community priorities and research agenda. Recent Advancement in Geoinformatics and Data Science, https://doi.org/10.1130/2022.2558(01)."
0,"Duncan, C. J., M. A. Chan, E. Hajek, D. Kamola, N. M. Roberts, B. Tikoff, and J. D. Walker, 2021: Bringing sedimentology and stratigraphy into the StraboSpot data management system. Geosphere, 17, 1914–1927, https://doi.org/10.1130/ges02364.1."
0,"Glazner, A., and J. D. Walker, 2020: StraboTools: A Mobile App for Quantifying Fabric in Geology. GSA Today, https://doi.org/10.1130/gsatg454a.1."
0,"Youngdahl, A., D.-H. Ton-That, and T. Malik, 2019: SciInc: A Container Runtime for Incremental Recomputation. 2019 15th International Conference on eScience (eScience), https://doi.org/10.1109/escience.2019.00040."
0,"Ferdowsi, B., J. D. Gartner, K. N. Johnson, A. Kasprak, K. L. Miller, W. Nardin, A. C. Ortiz, and A. Tejedor, 2021: Earthcasting: Geomorphic Forecasts for Society. Earth’s Future, 9, https://doi.org/10.1029/2021ef002088."
0,"Manne, N. N., S. Satpati, T. Malik, A. Bagchi, A. Gehani, and A. Chaudhary, 2022: CHEX. Proceedings of the VLDB Endowment, 15, 1297–1310, https://doi.org/10.14778/3514061.3514075."
0,"Gonçalves, B. C., and H. J. Lynch, 2021: Fine-Scale Sea Ice Segmentation for High-Resolution Satellite Imagery with Weakly-Supervised CNNs. Remote Sensing, 13, 3562, https://doi.org/10.3390/rs13183562."
0,"Le, H., D. Samaras, and H. J. Lynch, 2021: A convolutional neural network architecture designed for the automated survey of seabird colonies. Remote Sensing in Ecology and Conservation, 8, 251–262, https://doi.org/10.1002/rse2.240."
0,"Yurchyshyn, V., X. Yang, G. Nita, G. Fleishman, V. Abramenko, S. Inoue, E.-K. Lim, and W. Cao, 2022: Magnetic Field Re-configuration Associated With a Slow Rise Eruptive X1.2 Flare in NOAA Active Region 11944. Frontiers in Astronomy and Space Sciences, 9, https://doi.org/10.3389/fspas.2022.816523."
0,"Liu, N., J. Jing, Y. Xu, and H. Wang, 2022: Multi-instrument Comparative Study of Temperature, Number Density, and Emission Measure during the Precursor Phase of a Solar Flare. The Astrophysical Journal, 930, 154, https://doi.org/10.3847/1538-4357/ac6425."
0,"Malik, T., 2020: Artifact Description/Artifact Evaluation. Proceedings of the 4th International Workshop on Practical Reproducible Evaluation of Computer Systems, https://doi.org/10.1145/3456287.3465479."
0,"Karnauskas, K. B., and D. Giglio, 2022: Argo Reveals the Scales and Provenance of Equatorial Island Upwelling Systems. Geophysical Research Letters, 49, https://doi.org/10.1029/2022gl098744."
0,"Hoffman, L., M. R. Mazloff, S. T. Gille, D. Giglio, and A. Varadarajan, 2022: Ocean Surface Salinity Response to Atmospheric River Precipitation in the California Current System. Journal of Physical Oceanography, 52, 1867–1885, https://doi.org/10.1175/jpo-d-21-0272.1."
0,"Li, J., T. Matsuo, and L. M. Kilcommons, 2022: Assimilative Mapping of Auroral Electron Energy Flux Using SSUSI Lyman‐Birge‐Hopfield (LBH) Emissions. Journal of Geophysical Research: Space Physics, 127, https://doi.org/10.1029/2021ja029739."
-1,"Trey-Stafford, M. Fisher, and Twilamoon-Science, 2021: <i>nsidc/qgreenland: v1.0.1</i>. Zenodo,"
